Alpha	Cl	Cd	Cdp	Cm	Top_Xtr	Bot_Xtr
-10.25	-0.5629	0.09185	0.0866	-0.0254	1	0.0367
-10	-0.5764	0.08412	0.07895	-0.0302	1	0.037
-9.75	-0.5963	0.07438	0.06927	-0.037	1	0.0369
-9.5	-0.6274	0.06309	0.05795	-0.0469	1	0.0361
-9.25	-0.6545	0.05546	0.05008	-0.0504	1	0.0359
-9	-0.6728	0.04909	0.04331	-0.0511	1	0.0364
-8.75	-0.6827	0.04362	0.03725	-0.0503	1	0.0373
-8.5	-0.6828	0.03937	0.03243	-0.0488	1	0.0383
-8.25	-0.6713	0.03713	0.03002	-0.0476	1	0.0394
-8	-0.6569	0.03559	0.02835	-0.0464	1	0.0411
-7.75	-0.6424	0.03385	0.02637	-0.0451	1	0.0434
-7.5	-0.6282	0.03157	0.02363	-0.0436	1	0.0457
-7.25	-0.612	0.02947	0.021	-0.0421	1	0.0476
-7	-0.5941	0.02803	0.01957	-0.041	1	0.0499
-6.75	-0.575	0.02698	0.01838	-0.0399	1	0.0525
-6.5	-0.5553	0.02566	0.01681	-0.0387	1	0.0549
-6.25	-0.5347	0.02454	0.01539	-0.0376	1	0.0579
-6	-0.5143	0.02339	0.01418	-0.0366	1	0.0606
-5.75	-0.4933	0.0225	0.01324	-0.0356	1	0.0632
-5.5	-0.4718	0.02165	0.01227	-0.0346	1	0.066
-5.25	-0.4499	0.02096	0.01141	-0.0336	1	0.07
-5	-0.4283	0.02016	0.01062	-0.0327	1	0.0736
-4.75	-0.4063	0.01953	0.00996	-0.0319	1	0.0776
-4.5	-0.3839	0.01895	0.00928	-0.031	1	0.0824
-4.25	-0.3615	0.01836	0.00872	-0.0304	1	0.0885
-4	-0.3246	0.01779	0.00816	-0.0326	0.9951	0.1017
-3.75	-0.288	0.01723	0.00764	-0.0347	0.9893	0.1204
-3.5	-0.2504	0.01673	0.00723	-0.0371	0.9839	0.1467
-3.25	-0.2148	0.01628	0.00692	-0.039	0.9771	0.184
-3	-0.1789	0.01585	0.00668	-0.041	0.9707	0.2338
-2.75	-0.1431	0.01538	0.00649	-0.043	0.9639	0.2979
-2.5	-0.1091	0.01493	0.00631	-0.0445	0.9564	0.366
-2.25	-0.0732	0.01445	0.00614	-0.0463	0.9498	0.4474
-2	-0.0413	0.01397	0.00606	-0.047	0.9415	0.5472
-1.75	-0.0087	0.01353	0.006	-0.0474	0.9343	0.658
-1.5	0.0191	0.01321	0.006	-0.0464	0.9246	0.7625
-1.25	0.0574	0.01301	0.00599	-0.0473	0.9182	0.8639
-1	0.1046	0.01292	0.00589	-0.0506	0.9099	0.9393
-0.75	0.1598	0.01281	0.00568	-0.056	0.9033	0.9868
-0.5	0.1992	0.01272	0.00549	-0.0583	0.8913	1
-0.25	0.229	0.01266	0.00533	-0.0586	0.8774	1
